"ORIG_FID","Shape_Length","lat","long","HUC6"
1,3076430.43204606,39.68997892,-114.50183914,160600
1,2354535.45405202,33.2524823,-93.27866336,111402
1,2150966.05046827,43.48094019,-88.50071942,70900
1,2624997.43632946,43.48481787,-92.65624445,70801
1,3675613.85329311,46.23055853,-82.08163246,42000
1,2398987.60835831,48.09732539,-100.57496965,90100
1,3468849.37061037,32.73376424,-92.55518553,80402
1,3302433.54593294,40.84872972,-107.20732635,140500
1,2772967.72082282,36.48745084,-104.88568641,110800
1,3436268.04685053,45.12633295,-122.693896,170900
1,3588422.11908049,34.79278095,-84.89989278,31501
1,5514284.44509954,39.96252941,-102.06551467,102500
1,2371655.19740396,44.21687289,-79.20582501,42200
1,516607.364429986,29.98994761,-81.85162738,30801
1,1896446.30930687,42.59813719,-82.81152399,40900
1,842432.453217815,41.09460574,-74.17198273,20301
1,2410831.76252303,36.78059312,-82.23431723,60101
1,4329030.26993887,47.13463384,-102.23917644,101302
1,2093501.19445055,35.48733794,-118.20601096,180300
1,2278689.03799833,38.90927455,-81.0290185,50302
